super_opeid,name,type,tier,tier_name,iclevel,region,state,cz,czname,cfips,county,multi,count,female,married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc,k_rank,k_mean,k_median,k_median_nozero,k_0inc,k_q1,k_q2,k_q3,k_q4,k_q5,k_top10pc,k_top5pc,k_top1pc,k_rank_cond_parq1,k_rank_cond_parq2,k_rank_cond_parq3,k_rank_cond_parq4,k_rank_cond_parq5,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5,shareimputed,imputed
4743,Clovis Community College,1,9,Two-year (public and private not-for-profit),2,4,NM,30901,Clovis,35009,Curry,0,424,.5748491499034114,.5098801325983221,.0252654652027609,.0008027482576046,53957.48672120676,44300,.4026519172127892,.2466127566035574,.2664208271115815,.2526283491752762,.1631970492335743,.0711410178760106,.0314396408696969,.0152876368217147,.0012145012199956,.0000783572565221,.4886676665282828,30555.89811812107,26600,31200,.1530560036453436,.1727299295148825,.2218092656761279,.2331879570726452,.2161160736830301,.1561567740533143,.0535790626041638,.0227781899255823,.0028842287294889,.4460828253214465,.4677745704099817,.500347172173689,.5361386831826384,.5641602180289023,.185315234620717,.2991602044859029,.2477543610354624,.1653202473464326,.102449952511485,.1765527019644652,.2332444797238028,.288359346641605,.1715810298935359,.1302624417765912,.1966789446551788,.1671986986154941,.1880977697095944,.2900990150106116,.1579255720091212,.1317593778137144,.1852180313155767,.2147305449506001,.2592532767324484,.2090387691876604,.1237273976005352,.1887123460463707,.1785385635066497,.1973070846377289,.3117146082087155,.0032550962434397,.0000769436247534,.0032182475872498,.0005981971972264,.0161698065255417,0,0
4,Coast Community College District,1,9,Two-year (public and private not-for-profit),2,4,CA,38300,Los Angeles,6059,Orange,1,5334.666666666667,.4801156951919463,.430039639544916,.0336382694607174,.0004371946176821,101057.1972910093,72800,.5598722694553873,.1620393391291605,.1613586600159548,.1804938771438411,.2091382993937787,.2869698243172649,.1483081749150885,.0669356395858946,.010915637695119,.0011773132666653,.5202801670585772,36782.17605657179,30600,38000,.1747638766617291,.1918719483561053,.177987047233081,.187389540384285,.2104166020685623,.2323348619579664,.1119709002150614,.0501836309976684,.0061635428282334,.4948817417919412,.5046749212866395,.5130721061594991,.5313964133537045,.5398284370483264,.2064122590538155,.2002614599730527,.193510414678408,.1922226383693459,.2075932279253778,.2000225438764505,.1833497486758989,.1963346311751813,.2162897382906325,.2040033379818369,.1957502583309288,.1713327956194105,.2025291809558217,.2270241888817424,.2033635762120966,.1827573529594018,.1688101681315252,.1862429112380501,.2268753068371226,.2353142608339004,.183281945080528,.1732675235699488,.1702170078484386,.1949471818710913,.2782863416299934,.0026980770227261,.0029963361577804,.0056910596006914,.003901836175786,.0118466763415288,0,0
5316,Coastal Carolina Community College,1,9,Two-year (public and private not-for-profit),2,3,NC,1900,Jacksonville,37133,Onslow,0,901,.5126657624333777,.5318386753841192,.0232594223410765,9.49196727219e-06,66498.19622439188,56700,.4754648688564555,.1701339115473553,.2112813196147881,.2874754918928059,.2345834846088316,.0965257923362193,.0325298932922954,.0160130144090364,.0026989138207188,0,.5057403989646688,32274.35345854144,28000,32900,.1447916351509588,.1622081815329374,.2022666400825914,.2396227061567254,.2288140801947697,.1670883920329761,.061307239917817,.0250598094445046,.002185228709839,.476275952489474,.4842856150951555,.5145649617131974,.5099419463223278,.5681427610260091,.1976494213904713,.2141906547557795,.2286860622239871,.2227614206499847,.1367124409797774,.1699786045508506,.2234689583206347,.2462198183081553,.233546232601288,.1267863862190714,.1590268556121823,.1797795534335964,.2610766920116951,.2325736365066853,.1675432624358408,.1359582586242167,.2304376413747766,.2417246732027161,.2065567589353363,.1853226678629543,.1560010283860162,.1333493255980086,.1754560799056864,.2720187700154391,.2631747960948497,.000055791154073,.0033881459130994,0,.0048923154485649,.0032346628783139,0,0
3451,Coastal Carolina University,1,5,Selective public,1,3,SC,1302,Florence,45051,Horry,0,771,.5493927666030815,.5376090265124379,.0104055723990457,4.02418038403e-06,120509.9386044909,91500,.6525065811536964,.0675135552739818,.1313047560288864,.1758744679531439,.257010915433022,.368296305310966,.1864412736954547,.0880906668077338,.0166354584441207,.001266891063836,.5939362771960988,42996.39495683366,37800,40600,.0874421344405637,.0969493678362522,.1334816569614234,.2241348037251578,.2987023120927124,.2467318593844544,.1134118344030801,.0533886931633671,.0117274912570718,.5499954083704918,.5842194071694261,.5770300036892971,.5999754100612784,.6093144773973102,.1171904472958333,.156357391575756,.260877777336384,.311448707002853,.1541256767891738,.0915985406602882,.1455303176770569,.2504869068107263,.2790775394642993,.2333066953876292,.0998660860613476,.1497744068576219,.2430555419335426,.2866228365454416,.2206811286020463,.0858286010082394,.1346241411407647,.2435456135102204,.2987021661983682,.2372994781424073,.1015142358311958,.1164150229422756,.1854233917490634,.309130818490602,.2875165309868632,.000059605517258,.0164552699579162,.0027041603746908,.011653282687293,.0165415676540947,0,0
1072,Cochise College,1,9,Two-year (public and private not-for-profit),2,4,AZ,35100,Tucson,4003,Cochise,0,682.6666666666666,.5151404751522932,.486266424821224,.0294726420542353,.0004633111979491,60835.64142608643,51600,.4457048905896954,.2234901757672326,.2267436619852705,.2383816416271231,.2023369438532955,.1090475767670783,.0312994560026709,.0048246436872432,.0005036360202482,5.75766537381e-06,.5038774221135689,33305.64043235779,28400,34600,.164646046134294,.1786892475121588,.2060514391421888,.2089081256934522,.2109801127544413,.1953710748977589,.083182699399913,.0305017826967742,.0036285528174976,.4801542912755394,.4888105854333844,.5032055469637271,.5196275657508522,.556070449645631,.1737814145781847,.2312529971439842,.2444574743754923,.218633672652038,.1318744412503008,.1851897147504518,.2277722060714776,.2054945976677499,.1990801877506403,.1824632937596804,.1847777844515018,.2059756264256191,.2125162475106618,.1911415751670178,.2055887664451994,.1824926666763551,.1842188206075103,.1817063868323189,.2383441653179686,.2132379605658471,.1548642802934046,.1499132894176249,.1857335838213246,.2126318827590525,.2968569637085933,.0020730718760167,.0063971245072032,.0000221755136811,.0025889201012007,.0108724448653222,0,0
31004,Coconino County Community College,1,9,Two-year (public and private not-for-profit),2,4,AZ,35401,Flagstaff,4005,Coconino,0,457.3333333333333,.5224936654025543,.4872355057529388,.0135904554150963,0,85217.23152787901,68500,.5454504267467354,.1328924184493808,.1813491731629544,.2281408097442946,.2591660447959411,.1984515538474291,.0797174785981286,.0356865961310989,.0046722804548819,9.91308646090e-06,.4805299936690411,30081.08003257106,25000,30800,.1738192438644849,.1854096805135214,.2220893058402287,.2394307504798373,.1979551670287446,.1551150961376681,.0717236333127533,.025122729822472,.0010094429343879,.4514767022330977,.4569322305674456,.4683628809956003,.4830598432364339,.5322330951169351,.1914268961039405,.2781301865493756,.2534294933702042,.1747468268773156,.1022665970991641,.2145224986665406,.2569731558540444,.2029407874334739,.1745259763499181,.1510375816960229,.187097997872655,.1966588752537851,.2739895023741262,.2121668432194507,.1300867812799829,.1785679750275675,.2257499683806869,.2333282671090428,.175701194567469,.1866525949152339,.1617703384139025,.1771384563302176,.2316424147220385,.247631207992354,.1818175825414875,0,.0000516063509963,0,.00275460312475,.0014420878190796,0,0
1854,Coe College,2,6,Selective private,1,2,IA,22200,Cedar Rapids,19113,Linn,0,259,.5644265814136305,.6627787108255698,.0156217416512848,.0013955681064475,138284.5292265864,90600,.6615841093934162,.0406834528461714,.1131873728119514,.2322433690959103,.2936886768380055,.3201971284079614,.1542072729091155,.0757590612459335,.0157520876126377,.0014626839045384,.6892409815641858,55845.17175721176,48500,50300,.0519486381541368,.0500361617517666,.0936528890548758,.150390586909828,.3047433625142034,.401176999769326,.1748302599276507,.0818110539731736,.0178648422987901,.637385021511624,.6814851893181216,.7074871925145179,.692692262919251,.6821715037204562,.1265326887868601,.1365016938325575,.1814454471904006,.1715374804624366,.3839826897277454,.0660939685558086,.0600251750731151,.1968436022933609,.2671537726999458,.4098834813777695,.0273014633335802,.0856691320260714,.1431688535254148,.3836365117781855,.3602240393367482,.0526425836586243,.0936249113721397,.1324625487482195,.2873312901650006,.4339386660560158,.0487395309451403,.1059121702331092,.1517058634885476,.2937040999994419,.3999383353337611,.0343030890648407,.0145085706934651,.0014835591575312,.0198295762386964,.0270421488491971,.712998712998713,1
1910,Coffeyville Community College,1,9,Two-year (public and private not-for-profit),2,2,KS,29403,Bartlesville,20125,Montgomery,0,160,.3861998721282692,.4541405177637005,.0392328136264452,.0045935307050285,52326.55963044224,40700,.3708315999300734,.2845899312547849,.2977763659124802,.2350603319473671,.1221367126131862,.0604366582721811,.0127760339007215,.0044589400462812,.0012095643189636,.0001421932205491,.4963129698217985,107965.8200696916,24100,25500,.1008280399214507,.1200282885629403,.2789182578925806,.2527542808280214,.1972059423287029,.1510932303877544,.071025915592718,.0376848606317866,.0101720220450061,.4350730454417865,.5217540775241394,.5231456900755902,.505812361757951,.5357753211220809,.1884155429595328,.3844086190896603,.1494037392777235,.1399147491404985,.1378573495325849,.1102790472081712,.234082829184694,.2867276882277595,.2201134115013971,.1487970238779782,.0911108048640135,.2102874236982366,.3159673545600661,.2233010599922745,.1593333568854093,.0630151901303895,.3189806162813089,.3108596165490717,.2197589556646964,.0873856213745335,.0737238648801541,.1890512490735298,.2087472966668768,.2070462593954749,.3214313299839645,.0161408756970956,.0167499801858238,.0003638954901086,.0023066467585108,.0036977468738771,1,1
3427,Coker College,2,6,Selective private,1,3,SC,1302,Florence,45031,Darlington,0,100.5,.5794308077865576,.5975600046830881,.0121703634225802,.0000344958027892,78650.5451801426,59000,.5164428785282943,.097994198358358,.2442961806448578,.254061773395114,.2438010294578699,.1598468181438005,.0645471800787513,.0203936718031725,.0020030739436035,.000314255119882,.5588879013871558,36753.18289779526,34600,35300,.1108181002835408,.1279210370457623,.1147243271549841,.2717848820509716,.3217799199157403,.1637898338325418,.0645916906301283,.0189534851224423,.0040007618003528,.4795124438875062,.6011880974667729,.5174431346185268,.5578935015169078,.6102903924400543,.2642573749715383,0,.3551845879066256,.2563633028777326,.1241947342441037,.0707211884813408,.0616254723023958,.3393601459285526,.3665213479118764,.1617718453758344,.1446239666443286,.1844273370096482,.2365912050110774,.3248432492399576,.1095142420949882,.1304233285390402,.1375579775222842,.2489620655149108,.3278349465638757,.1552216818598891,.1013949991151599,.1205951237042873,.2081272369348515,.2794005487178874,.290482091527814,.0003520188273091,.0002060539727158,.0005325673005466,.0012384473840682,.0217626356246802,1,1
2039,Colby College,2,2,Other elite schools (public and private),1,1,ME,20100,Portland,23011,Kennebec,0,491.6666666666667,.550823782581394,.6073770868576179,.0090376510282885,.0019887328925935,418072.8774576271,208700,.8495859973309404,.0148576889618059,.0390356268737859,.0768811222306608,.1235453743853596,.7456801875483876,.625981314424741,.4998068608671932,.1833576525065858,.0261466242347733,.7205907130515549,81791.60644067796,59200,63900,.0709696502680496,.0778568147080954,.0928250552090766,.1025209606666324,.1958300232037073,.5309671462124882,.377251320430788,.249314549433983,.0808215065704404,.6942499613357802,.675697952125032,.6536390380940195,.703952072555736,.7331252109398276,.0989245002316363,.0224875242380101,.0265899954002393,.2437169041484322,.608281075981682,.0869312374163748,.0903036820157418,.1354329999945519,.3139060488515615,.3734260317217699,.0846121735600051,.1421324055730489,.1405016105493535,.2278676542886875,.4048861560289048,.0654933659918805,.1204825221458402,.1244319561870126,.1824950259710087,.5070971297042581,.078313906687788,.0846925071033001,.0947648466519475,.1876009298595282,.5546278096974363,.1338521016091956,0,.053432223825472,.0619004648324792,.089954553392443,0,0
1911,Colby Community College,1,9,Two-year (public and private not-for-profit),2,2,KS,28604,Colby,20193,Thomas,0,342,.5042481063402187,.6510873722751238,.0191005317847074,9.89991390119e-06,63084.84336165935,57600,.4747710452209903,.1305096827534484,.2234758876411144,.3416779803421989,.220445699292721,.0838907499705175,.0207936502738945,.0072348660990944,.0015547360673903,.0001884861908818,.5607518875697132,36567.61060855263,33200,34600,.0790487222126585,.0922807738196656,.1802998416458028,.2586051420537706,.2312698004745934,.2375444420061679,.0801944063711352,.0206399820018814,.0027813200825454,.4804800092941604,.5593762106133251,.5722587090021918,.5789539162178485,.5945994995723226,.1170278832785918,.2432454303200049,.29390987590297,.1994634412944714,.1463533692039618,.1099216913483788,.2004819428050199,.2089943774305215,.2397066058821672,.2408953825339125,.0674902499251032,.1681725090904152,.3133665456115081,.2361333248152738,.2148373705576999,.0993221582056303,.1474871760155346,.2466595698912393,.2204129161675139,.2861181797200818,.0892539338259217,.1642293181958859,.1441918638737184,.2669973335938687,.3353275505106054,.000075855780907,.0042819079220448,.0001082611302491,.0044911703850058,.0093868198191814,0,0
2572,Colby-Sawyer College,2,6,Selective private,1,1,NH,20600,Manchester,33013,Merrimack,0,206.3333333333333,.6476272730719483,.601725619617302,.0099231076146259,0,170401.6362075929,99400,.6948967686762525,.0392723848399146,.0949236841793122,.1732352710768409,.263769064491181,.4287995954127513,.2549796991760396,.160837943170683,.0336135417909056,.0048066969856614,.6337865353141409,47579.76956911349,41900,43400,.0662859985138469,.0657534440976528,.1369654883624202,.2035834752789059,.3084017736284249,.2852958186325962,.130544456314771,.0688459881986093,.0102290442339811,.5603296787076312,.6006771866262248,.6208789396748212,.657547130723377,.6384423888365171,.1064649246019998,.2992145267883402,.1566185181837949,.1850281056037466,.2526739248221185,.0848675530184058,.1769728949233651,.2272365014451675,.2673542490015829,.2435688016114787,.1029395083268837,.1023620593235237,.1987797966177498,.3379831142222626,.2579355215095803,.0675524245692818,.0878678586465932,.191311327307033,.35582420537684,.297444184100252,.0416637014954939,.1574305570339036,.2121384578102599,.2876658828391404,.3011014008212024,0,.0000559035539398,.0184590107400202,.0123025991829793,.008817500987567,0,0
2701,Colgate University,2,2,Other elite schools (public and private),1,1,NY,17700,Syracuse,36053,Madison,0,656,.5184098837851752,.6161739877993013,.0087406815416871,.0010027857309335,522975.6131383384,208900,.8406369270893132,.0239236799493065,.0533124100394965,.0690055794185526,.1222626118167797,.7314957187758646,.6221202431110348,.5026075817281153,.197672680588212,.0310479797729541,.7609470160102363,103263.2928615663,71500,76100,.0624341261289196,.0693773249699154,.0754347036819531,.085152106997636,.1568523174540184,.613183546896477,.4641657599770441,.3342722461717885,.1257850718118501,.6875185099680249,.7223513997727777,.7292382846154818,.7247923550809302,.7751955588052912,.1149025389911292,.1036592624296941,.160770402477765,.2553108961508904,.3653568999505213,.1201766380977967,.0663184220835818,.0987927354536684,.1301917726969593,.5845204316679937,.089893736398398,.0671075358375431,.0901018056672351,.1605494152322191,.5923475068646047,.0709030987909184,.0926157965866417,.1163190032053077,.2252186079840572,.4949434934330751,.0619956598786813,.0730899071589759,.0760086691587498,.1437997253461656,.6451060384574273,.041916031858744,.0749820354976857,.0727625453499081,.0737773657558826,.1459250892204601,0,0
